Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
9501,33,2,9500,19002,90259500,7
9502,33,2,9501,28506,90278502,7
9503,33,2,9502,19006,90297506,7
9504,34,2,9503,47520,90316512,10
9505,33,2,9504,19010,90335520,7
9506,33,2,9505,28518,90354530,8
9507,33,2,9506,19014,90373542,7
9508,33,2,9507,28524,90392556,8
9509,33,2,9508,19018,90411572,6
9510,34,3,9509,66570,90430590,11
9511,32,2,9510,19022,90449610,6
9512,33,2,9511,28536,90468632,8
9513,33,2,9512,19026,90487656,9
9514,33,2,9513,28542,90506682,8
9515,33,2,9514,19030,90525710,8
9516,34,2,9515,47580,90544740,10
9517,33,2,9516,19034,90563772,6
9518,33,2,9517,28554,90582806,7
9519,33,2,9518,19038,90601842,8
9520,34,3,9519,28560,90620880,10
9521,32,2,9520,19042,90639920,6
9522,34,2,9521,47610,90658962,9
9523,33,2,9522,19046,90678006,6
9524,33,2,9523,28572,90697052,8
9525,33,2,9524,19050,90716100,8
9526,33,2,9525,28578,90735150,8
9527,33,2,9526,19054,90754202,7
9528,33,2,9527,47640,90773256,9
9529,33,2,9528,19058,90792312,6
9530,33,2,9529,28590,90811370,8
9531,33,2,9530,19062,90830430,7
9532,33,3,9531,28596,90849492,7
9533,32,2,9532,19066,90868556,6
9534,34,2,9533,47670,90887622,10
9535,33,2,9534,19070,90906690,7
9536,33,2,9535,28608,90925760,8
9537,34,2,9536,19074,90944832,8
9538,33,3,9537,28614,90963906,8
9539,32,2,9538,19078,90982982,6
9540,34,2,9539,66780,91002060,11
9541,33,2,9540,19082,91021140,7
9542,33,2,9541,28626,91040222,8
9543,33,2,9542,19086,91059306,7
9544,33,2,9543,28632,91078392,8
9545,33,2,9544,19090,91097480,7
9546,34,3,9545,47730,91116570,9
9547,32,2,9546,19094,91135662,6
9548,34,2,9547,28644,91154756,9
9549,33,2,9548,19098,91173852,7
9550,33,3,9549,28650,91192950,8
9551,32,2,9550,19102,91212050,6
9552,33,2,9551,47760,91231152,9
9553,33,2,9552,19106,91250256,6
9554,33,2,9553,28662,91269362,8
9555,34,2,9554,19110,91288470,10
9556,33,2,9555,28668,91307580,8
9557,33,2,9556,19114,91326692,6
9558,34,2,9557,47790,91345806,9
9559,33,2,9558,19118,91364922,7
9560,33,2,9559,28680,91384040,9
9561,33,2,9560,19122,91403160,7
9562,33,2,9561,28686,91422282,8
9563,33,2,9562,19126,91441406,6
9564,33,2,9563,47820,91460532,9
9565,33,2,9564,19130,91479660,7
9566,33,2,9565,28698,91498790,8
9567,33,2,9566,19134,91517922,8
9568,34,2,9567,28704,91537056,9
9569,33,2,9568,19138,91556192,7
9570,34,2,9569,66990,91575330,12
9571,33,2,9570,19142,91594470,6
9572,33,2,9571,28716,91613612,8
9573,33,2,9572,19146,91632756,7
9574,33,2,9573,28722,91651902,8
9575,33,2,9574,19150,91671050,7
9576,34,2,9575,47880,91690200,11
9577,33,2,9576,19154,91709352,6
9578,33,2,9577,28734,91728506,8
9579,33,2,9578,19158,91747662,8
9580,33,2,9579,28740,91766820,9
9581,33,2,9580,19162,91785980,7
9582,33,2,9581,47910,91805142,9
9583,33,2,9582,19166,91824306,9
9584,33,2,9583,28752,91843472,8
9585,34,2,9584,19170,91862640,8
9586,33,3,9585,28758,91881810,7
9587,33,2,9586,19174,91900982,6
9588,34,2,9587,47940,91920156,10
9589,33,2,9588,19178,91939332,6
9590,34,2,9589,28770,91958510,10
9591,33,2,9590,19182,91977690,8
9592,33,2,9591,28776,91996872,8
9593,33,2,9592,19186,92016056,6
9594,34,2,9593,47970,92035242,10
9595,33,2,9594,19190,92054430,7
9596,33,2,9595,28788,92073620,8
9597,33,2,9596,19194,92092812,8
9598,33,2,9597,28794,92112006,7
9599,33,2,9598,19198,92131202,6
9600,34,3,9599,67200,92150400,11
9601,33,2,9600,19202,92169600,6
9602,33,2,9601,28806,92188802,7
9603,33,2,9602,19206,92208006,8
