Nenner,AVG #Terms,MIN #Terms,MAX #Terms,MIN longest Denominator,MAX longest Denominator,Time
3,2,2,2,6,6,0
4,3,3,3,12,12,0
5,3,2,4,10,20,0
6,5,5,5,30,30,0
7,3,2,6,14,42,0
8,4,2,7,24,56,0
9,4,2,8,18,72,0
10,5,3,9,30,90,0
11,4,2,10,22,110,0
12,6,3,11,60,132,0
13,4,2,12,26,156,0
14,5,2,13,42,182,0
15,6,2,14,30,210,0
16,5,3,15,48,240,0
17,5,2,16,34,272,0
18,6,3,17,90,306,0
19,5,2,18,38,342,0
20,6,2,19,60,380,0
21,6,2,20,42,420,0
22,6,3,21,66,462,0
23,6,2,22,46,506,0
24,7,2,23,120,552,0
25,6,2,24,50,600,0
26,7,2,25,78,650,0
27,6,2,26,54,702,0
28,7,3,27,84,756,0
29,6,2,28,58,812,0
30,8,3,29,210,870,0
31,6,2,30,62,930,0
32,7,2,31,96,992,0
33,7,2,32,66,1056,0
34,7,2,33,102,1122,0
35,8,2,34,70,1190,0
36,8,3,35,180,1260,0
37,7,2,36,74,1332,0
38,8,2,37,114,1406,0
39,8,2,38,78,1482,0
40,8,3,39,120,1560,0
41,7,2,40,82,1640,0
42,9,3,41,210,1722,0
43,7,2,42,86,1806,0
44,8,2,43,132,1892,0
45,8,2,44,90,1980,0
46,8,3,45,138,2070,0
47,8,2,46,94,2162,0
48,9,2,47,240,2256,0
49,8,2,48,98,2352,0
50,9,2,49,150,2450,0
51,8,2,50,102,2550,0
52,9,3,51,156,2652,0
53,8,2,52,106,2756,0
54,9,2,53,270,2862,0
55,9,2,54,110,2970,0
56,9,2,55,168,3080,0
57,9,2,56,114,3192,0
58,9,3,57,174,3306,0
59,8,2,58,118,3422,0
60,10,3,59,420,3540,0
61,8,2,60,122,3660,0
62,9,2,61,186,3782,0
63,9,2,62,126,3906,0
64,9,2,63,192,4032,0
65,9,2,64,130,4160,0
66,10,3,65,330,4290,0
67,9,2,66,134,4422,0
68,10,2,67,204,4556,0
69,9,2,68,138,4692,0
70,10,3,69,210,4830,0
71,9,2,70,142,4970,0
72,10,3,71,360,5112,0
73,9,2,72,146,5256,0
74,9,2,73,222,5402,0
75,10,2,74,150,5550,0
76,10,2,75,228,5700,0
77,10,2,76,154,5852,0
78,10,3,77,390,6006,0
79,9,2,78,158,6162,0
80,10,2,79,240,6320,0
81,10,2,80,162,6480,0
82,10,3,81,246,6642,0
83,9,2,82,166,6806,0
84,11,2,83,420,6972,0
85,10,2,84,170,7140,0
86,10,2,85,258,7310,0
87,10,2,86,174,7482,0
88,10,3,87,264,7656,0
89,10,2,88,178,7832,0
90,11,2,89,630,8010,0
91,10,2,90,182,8190,0
92,10,2,91,276,8372,0
93,10,2,92,186,8556,0
94,10,2,93,282,8742,0
95,10,2,94,190,8930,0
96,11,3,95,480,9120,0
97,10,2,96,194,9312,0
98,11,2,97,294,9506,0
99,11,2,98,198,9702,0
100,11,3,99,300,9900,0
101,10,2,100,202,10100,0
102,11,3,101,510,10302,0
103,10,2,102,206,10506,0
104,11,2,103,312,10712,0
105,11,2,104,210,10920,0
106,11,3,105,318,11130,0
107,10,2,106,214,11342,0
108,11,3,107,540,11556,0
109,10,2,108,218,11772,0
110,11,2,109,330,11990,0
111,11,2,110,222,12210,0
112,11,3,111,336,12432,0
113,10,2,112,226,12656,0
114,12,2,113,570,12882,0
115,11,2,114,230,13110,0
116,11,2,115,348,13340,0
117,11,2,116,234,13572,0
118,11,2,117,354,13806,0
119,11,2,118,238,14042,0
120,12,2,119,840,14280,0
121,11,2,120,242,14520,0
122,11,2,121,366,14762,0
123,11,2,122,246,15006,0
124,11,2,123,372,15252,0
125,11,2,124,250,15500,0
126,12,3,125,630,15750,0
127,11,2,126,254,16002,0
128,11,2,127,384,16256,0
129,11,2,128,258,16512,0
130,12,3,129,390,16770,0
131,11,2,130,262,17030,0
132,12,2,131,660,17292,0
133,12,2,132,266,17556,0
134,11,2,133,402,17822,0
135,12,2,134,270,18090,0
136,12,3,135,408,18360,0
137,11,2,136,274,18632,0
138,12,3,137,690,18906,0
139,11,2,138,278,19182,0
140,12,2,139,420,19460,0
141,12,2,140,282,19740,0
142,12,2,141,426,20022,0
143,12,2,142,286,20306,0
144,12,2,143,720,20592,0
145,12,2,144,290,20880,0
146,12,2,145,438,21170,0
147,12,2,146,294,21462,0
148,12,3,147,444,21756,0
149,11,2,148,298,22052,0
150,13,3,149,1050,22350,0
151,11,2,150,302,22650,0
152,12,2,151,456,22952,0
153,12,2,152,306,23256,0
154,13,2,153,462,23562,0
155,12,2,154,310,23870,0
156,13,3,155,780,24180,0
157,12,2,156,314,24492,0
158,12,2,157,474,24806,0
159,12,2,158,318,25122,0
160,13,2,159,480,25440,0
161,12,2,160,322,25760,0
162,13,3,161,810,26082,0
163,12,2,162,326,26406,0
164,12,2,163,492,26732,0
165,13,2,164,330,27060,0
166,12,3,165,498,27390,0
167,12,2,166,334,27722,0
168,13,2,167,840,28056,0
169,12,2,168,338,28392,0
170,13,2,169,510,28730,0
171,13,2,170,342,29070,0
172,13,3,171,516,29412,0
173,12,2,172,346,29756,0
