Numerator,Denominator,minDenom_farey
11,30,330
11,60,660
41,90,990
11,120,1320
41,150,1650
131,180,1980
131,240,2640
221,270,2970
191,300,3300
131,360,3960
71,390,4290
41,450,4950
131,480,5280
371,510,5610
491,540,5940
311,570,6270
491,600,6600
251,690,7590
131,720,7920
341,750,8250
71,780,8580
221,810,8910
791,870,9570
491,900,9900
761,930,10230
611,960,10560
371,1020,11220
491,1080,11880
101,1110,12210
311,1140,12540
851,1170,12870
1091,1200,13200
671,1230,13530
821,1290,14190
491,1350,14850
251,1380,15180
641,1410,15510
131,1440,15840
1091,1500,16500
1391,1530,16830
851,1560,17160
1301,1590,17490
1031,1620,17820
311,1710,18810
791,1740,19140
